"download_url","type","namespace","name","version","qualifier"
"https://github.com/davecgh/go-spew/archive/v1.1.1.tar.gz","golang","davecgh","go-spew","v 1.1.1",
"https://github.com/nunit/nunit/archive/v3.10.1.tar.gz","nuget",,"nunit","v 3.10.1",
"https://github.com/go-yaml/yaml/archive/v2.2.1.tar.gz","golang","go-yaml","yaml","v 2.2.1",
"https://github.com/twilio/twilio-csharp/archive/5.17.0.tar.gz","nuget",,"twillo-csharp","v 5.17.0",
"https://registry.npmjs.org/react/-/react-16.5.2.tgz","npm",,"react","v 16.5.2",
"https://registry.npmjs.org/vue/-/vue-2.5.17.tgz","npm",,"vue","v 2.5.17",
"https://zlib.net/zlib-1.2.11.tar.gz","generic",,"zlib","v 1.2.11",
"http://central.maven.org/maven2/commons-io/commons-io/2.5/commons-io-2.5-sources.jar","maven","commons-io","commons-io","v 2.5","classifier=sources"
"http://central.maven.org/maven2/org/jfree/jfreechart/1.5.0/jfreechart-1.5.0-sources.jar","maven","org.jfree","jfreechart","v 1.5.0","classifier=sources"
"https://files.pythonhosted.org/packages/4b/12/c1fbf4971fda0e4de05565694c9f0c92646223cff53f15b6eb248a310a62/Flask-1.0.2.tar.gz","pypi",,"Flask","v 1.0.2",
"https://files.pythonhosted.org/packages/6e/9c/6a003320b00ef237f94aa74e4ad66c57a7618f6c79d67527136e2544b728/setuptools-40.4.3.zip","pypi",,"setuptools","v 40.4.3",
