Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,copyright,start_line,end_line,copyright_holder
/Calculadora_M7_UF2_A02.nupkg-extract/,directory,Calculadora_M7_UF2_A02.nupkg-extract,Calculadora_M7_UF2_A02.nupkg-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,5,6,13719,,,,,
/Calculadora_M7_UF2_A02.nupkg-extract/[Content_Types].xml,file,[Content_Types].xml,[Content_Types],.xml,448,2016-04-21,a8f2fb6dc8d48852f9ca6a89f98192f93ad71c34,8e55e64b3577227bcecd3e1648ca13c9,application/xml,"XML 1.0 document, UTF-8 Unicode (with BOM) text, with very long lines, with no line terminators",,False,True,False,False,False,False,False,False,False,True,0,0,0,,,,,
/Calculadora_M7_UF2_A02.nupkg-extract/Calculadora_M7_UF2_A02.nuspec,file,Calculadora_M7_UF2_A02.nuspec,Calculadora_M7_UF2_A02,.nuspec,438,2016-04-21,0a3904017f48db0701f296603a17262f9a20bf62,a25b2f473c43c7d55c83c836d5179092,application/xml,"XML 1.0 document, UTF-8 Unicode (with BOM) text, with CRLF line terminators",,False,True,False,False,False,False,False,True,False,True,0,0,0,,,,,
/Calculadora_M7_UF2_A02.nupkg-extract/_rels/,directory,_rels,_rels,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1,0,507,,,,,
/Calculadora_M7_UF2_A02.nupkg-extract/_rels/.rels,file,.rels,.rels,,507,2016-04-21,16f5d8acea56c61dd3170bd664a9cbacf68ffa6b,959ef508c5fe3b515e8800929a311aca,application/xml,"XML 1.0 document, UTF-8 Unicode (with BOM) text, with very long lines, with no line terminators",,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,
/Calculadora_M7_UF2_A02.nupkg-extract/lib/,directory,lib,lib,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1,0,11776,,,,,
/Calculadora_M7_UF2_A02.nupkg-extract/lib/Calculadora.dll,file,Calculadora.dll,Calculadora,.dll,11776,2016-04-21,5cb5e8b9147201bd0eec59e86b5bcbbb9e509ba3,05b4caea82af7ece4eddbfc67ef961bf,application/x-dosexec,"PE32 executable (DLL) (console) Intel 80386 Mono/.Net assembly, for MS Windows",,True,False,False,False,False,False,False,False,False,False,0,0,0,,,,,
/Calculadora_M7_UF2_A02.nupkg-extract/lib/Calculadora.dll,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright LegalTrademarks OriginalFilename,206,206,
/Calculadora_M7_UF2_A02.nupkg-extract/lib/Calculadora.dll,,,,,,,,,,,,,,,,,,,,,,,,,,,206,206,LegalTrademarks OriginalFilename
/Calculadora_M7_UF2_A02.nupkg-extract/package/,directory,package,package,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,1,3,550,,,,,
/Calculadora_M7_UF2_A02.nupkg-extract/package/services/,directory,services,services,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,1,2,550,,,,,
/Calculadora_M7_UF2_A02.nupkg-extract/package/services/metadata/,directory,metadata,metadata,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,1,1,550,,,,,
/Calculadora_M7_UF2_A02.nupkg-extract/package/services/metadata/core-properties/,directory,core-properties,core-properties,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,1,0,550,,,,,
/Calculadora_M7_UF2_A02.nupkg-extract/package/services/metadata/core-properties/f2b39b77454c4536a5b745977ceb81c8.psmdcp,file,f2b39b77454c4536a5b745977ceb81c8.psmdcp,f2b39b77454c4536a5b745977ceb81c8,.psmdcp,550,2016-04-21,3f474c3a7c5a93a592338e3cfba626b534303d5d,87a90e4388199d25048a4c14fe956a95,application/xml,"XML 1.0 document, UTF-8 Unicode (with BOM) text, with very long lines, with no line terminators",,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,
